时间,节拍时间
2017_10_28_15_42_15_511,节拍时间：END:6.092
2017_10_28_15_42_21_700,节拍时间：END:6.143
2017_10_28_15_42_27_821,节拍时间：END:6.075
2017_10_28_15_42_45_590,节拍时间：END:17.621
2017_10_28_15_43_8_836,节拍时间：END:23.060
2017_10_28_15_43_14_886,节拍时间：END:6.007
2017_10_28_15_43_20_977,节拍时间：END:6.043
2017_10_28_15_43_27_110,节拍时间：END:6.081
2017_10_28_15_43_45_253,节拍时间：END:17.998
2017_10_28_15_43_53_234,节拍时间：END:7.919
2017_10_28_15_43_59_416,节拍时间：END:6.131
2017_10_28_15_44_5_490,节拍时间：END:6.024
2017_10_28_15_44_11_525,节拍时间：END:5.988
2017_10_28_15_44_53_313,节拍时间：END:41.456
2017_10_28_15_44_59_383,节拍时间：END:6.018
2017_10_28_15_45_5_409,节拍时间：END:5.980
2017_10_28_15_45_11_489,节拍时间：END:6.028
2017_10_28_15_45_17_493,节拍时间：END:5.956
2017_10_28_15_45_23_478,节拍时间：END:5.936
2017_10_28_15_45_29_651,节拍时间：END:6.123
2017_10_28_15_45_35_751,节拍时间：END:6.050
2017_10_28_15_45_41_947,节拍时间：END:6.148
2017_10_28_15_46_37_641,节拍时间：END:55.249
2017_10_28_15_46_43_765,节拍时间：END:6.075
2017_10_28_15_46_50_103,节拍时间：END:6.288
2017_10_28_15_46_56_372,节拍时间：END:6.219
2017_10_28_15_47_2_737,节拍时间：END:6.314
2017_10_28_15_47_8_841,节拍时间：END:6.055
2017_10_28_15_47_15_7,节拍时间：END:6.117
2017_10_28_15_47_20_995,节拍时间：END:5.942
2017_10_28_15_47_27_102,节拍时间：END:6.057
2017_10_28_15_47_33_128,节拍时间：END:5.978
2017_10_28_15_47_39_617,节拍时间：END:5.997
2017_10_28_15_47_45_562,节拍时间：END:6.102
2017_10_28_15_48_16_471,节拍时间：END:30.473
2017_10_28_15_48_22_281,节拍时间：END:6.187
2017_10_28_15_48_28_632,节拍时间：END:6.300
2017_10_28_15_48_34_681,节拍时间：END:6.003
2017_10_28_15_48_40_782,节拍时间：END:6.049
2017_10_28_15_48_46_938,节拍时间：END:6.108
2017_10_28_15_48_52_910,节拍时间：END:5.927
2017_10_28_15_49_13_562,节拍时间：END:20.478
2017_10_28_15_49_19_737,节拍时间：END:6.128
2017_10_28_15_55_46_904,节拍时间：END:384.088
2017_10_28_15_55_53_132,节拍时间：END:6.180
2017_10_28_15_55_59_405,节拍时间：END:6.216
2017_10_28_15_57_59_946,节拍时间：END:119.588
2017_10_28_15_58_20_97,节拍时间：END:19.414
2017_10_28_15_58_30_485,节拍时间：END:10.010
2017_10_28_15_58_38_366,节拍时间：END:8.272
2017_10_28_15_58_44_573,节拍时间：END:6.040
2017_10_28_15_58_50_404,节拍时间：END:6.300
2017_10_28_15_58_56_733,节拍时间：END:6.294
2017_10_28_15_59_2_822,节拍时间：END:6.039
2017_10_28_15_59_9_381,节拍时间：END:6.506
2017_10_28_15_59_15_737,节拍时间：END:6.298
2017_10_28_15_59_22_331,节拍时间：END:6.547
2017_10_28_16_1_31_262,节拍时间：END:127.906
2017_10_28_16_2_14_709,节拍时间：END:43.099
2017_10_28_16_2_47_227,节拍时间：END:32.259
2017_10_28_16_2_55_60,节拍时间：END:7.775
2017_10_28_16_3_1_451,节拍时间：END:6.334
2017_10_28_16_3_7_776,节拍时间：END:6.276
2017_10_28_16_3_14_213,节拍时间：END:6.387
2017_10_28_16_3_20_486,节拍时间：END:6.223
2017_10_28_16_3_26_617,节拍时间：END:6.081
2017_10_28_16_3_32_697,节拍时间：END:6.031
2017_10_28_16_3_38_762,节拍时间：END:6.015
2017_10_28_16_3_45_45,节拍时间：END:6.234
2017_10_28_16_3_53_317,节拍时间：END:8.202
2017_10_28_16_3_59_300,节拍时间：END:5.940
2017_10_28_16_4_7_265,节拍时间：END:7.899
2017_10_28_16_4_13_523,节拍时间：END:6.209
2017_10_28_16_4_19_894,节拍时间：END:6.320
2017_10_28_16_4_26_343,节拍时间：END:6.397
2017_10_28_16_4_32_640,节拍时间：END:6.247
2017_10_28_16_4_38_860,节拍时间：END:6.171
2017_10_28_16_4_45_144,节拍时间：END:6.232
2017_10_28_16_4_51_437,节拍时间：END:6.243
2017_10_28_16_4_59_677,节拍时间：END:8.172
2017_10_28_16_5_6_120,节拍时间：END:6.390
2017_10_28_16_5_12_315,节拍时间：END:6.146
2017_10_28_16_5_18_468,节拍时间：END:6.105
2017_10_28_16_5_25_781,节拍时间：END:6.019
2017_10_28_16_6_53_406,节拍时间：END:6.092
2017_10_28_16_6_59_344,节拍时间：END:5.986
2017_10_28_16_7_5_617,节拍时间：END:6.156
2017_10_28_16_7_10_405,节拍时间：END:5.976
2017_10_28_16_7_16_337,节拍时间：END:5.890
2017_10_28_16_7_22_483,节拍时间：END:6.097
2017_10_28_16_7_28_430,节拍时间：END:5.904
2017_10_28_16_7_34_777,节拍时间：END:6.296
2017_10_28_16_7_42_892,节拍时间：END:8.050
2017_10_28_16_7_48_908,节拍时间：END:5.969
2017_10_28_16_7_54_917,节拍时间：END:5.960
2017_10_28_16_8_0_832,节拍时间：END:5.868
2017_10_28_16_8_9_680,节拍时间：END:7.827
2017_10_28_16_8_17_179,节拍时间：END:7.971
2017_10_28_16_8_25_16,节拍时间：END:7.735
2017_10_28_16_8_31_85,节拍时间：END:5.881
2017_10_28_16_8_37_166,节拍时间：END:5.900
2017_10_28_16_8_42_910,节拍时间：END:5.963
2017_10_28_16_8_48_800,节拍时间：END:6.155
2017_10_28_16_8_54_718,节拍时间：END:6.018
2017_10_28_16_9_1_67,节拍时间：END:5.996
2017_10_28_16_9_6_899,节拍时间：END:6.082
2017_10_28_16_9_14_129,节拍时间：END:7.175
2017_10_28_16_9_20_245,节拍时间：END:6.068
2017_10_28_16_9_26_285,节拍时间：END:5.990
2017_10_28_16_9_32_325,节拍时间：END:5.992
2017_10_28_16_9_38_468,节拍时间：END:6.093
2017_10_28_16_9_44_662,节拍时间：END:6.146
2017_10_28_16_9_52_86,节拍时间：END:7.363
2017_10_28_16_9_58_80,节拍时间：END:5.947
2017_10_28_16_10_4_215,节拍时间：END:6.086
2017_10_28_16_10_10_368,节拍时间：END:6.102
2017_10_28_16_10_16_621,节拍时间：END:6.202
2017_10_28_16_10_22_620,节拍时间：END:5.951
2017_10_28_16_10_28_938,节拍时间：END:6.266
2017_10_28_16_10_34_974,节拍时间：END:5.991
2017_10_28_16_10_41_372,节拍时间：END:6.346
2017_10_28_16_10_47_741,节拍时间：END:6.318
2017_10_28_16_10_53_933,节拍时间：END:6.142
2017_10_28_16_11_1_343,节拍时间：END:7.350
2017_10_28_16_11_14_337,节拍时间：END:12.885
2017_10_28_16_11_24_224,节拍时间：END:9.811
2017_10_28_16_11_31_628,节拍时间：END:7.336
2017_10_28_16_11_37_976,节拍时间：END:6.305
2017_10_28_16_11_55_377,节拍时间：END:17.262
2017_10_28_16_12_4_869,节拍时间：END:9.416
2017_10_28_16_12_12_65,节拍时间：END:7.139
2017_10_28_16_12_21_906,节拍时间：END:9.763
2017_10_28_16_12_27_840,节拍时间：END:5.886
2017_10_28_16_12_37_437,节拍时间：END:9.520
2017_10_28_16_12_43_618,节拍时间：END:6.127
2017_10_28_16_12_50_941,节拍时间：END:7.271
2017_10_28_16_12_56_997,节拍时间：END:6.005
2017_10_28_16_13_4_833,节拍时间：END:7.774
2017_10_28_16_13_12_793,节拍时间：END:7.895
2017_10_28_16_13_23_53,节拍时间：END:10.174
2017_10_28_16_13_31_757,节拍时间：END:8.637
2017_10_28_16_13_39_481,节拍时间：END:7.663
2017_10_28_16_13_49_212,节拍时间：END:9.650
2017_10_28_16_13_58_204,节拍时间：END:8.924
2017_10_28_16_14_9_838,节拍时间：END:11.538
2017_10_28_16_14_16_260,节拍时间：END:6.368
2017_10_28_16_14_22_240,节拍时间：END:5.936
2017_10_28_16_14_28_437,节拍时间：END:6.144
2017_10_28_16_14_38_986,节拍时间：END:10.466
2017_10_28_16_14_51_205,节拍时间：END:12.121
2017_10_28_16_15_0_180,节拍时间：END:8.901
2017_10_28_16_15_8_187,节拍时间：END:7.946
2017_10_28_16_15_14_320,节拍时间：END:6.084
2017_10_28_16_15_20_353,节拍时间：END:5.984
2017_10_28_16_15_26_296,节拍时间：END:5.895
2017_10_28_16_15_35_473,节拍时间：END:9.101
2017_10_28_16_15_46_865,节拍时间：END:11.303
2017_10_28_16_15_53_133,节拍时间：END:6.213
2017_10_28_16_15_59_190,节拍时间：END:6.007
2017_10_28_16_16_4_781,节拍时间：END:5.551
2017_10_28_16_16_10_792,节拍时间：END:5.964
2017_10_28_16_16_17_115,节拍时间：END:6.269
2017_10_28_16_16_26_634,节拍时间：END:9.445
2017_10_28_16_16_40_189,节拍时间：END:13.449
2017_10_28_16_16_52_159,节拍时间：END:11.875
2017_10_28_16_17_3_233,节拍时间：END:10.983
2017_10_28_16_17_13_406,节拍时间：END:10.093
2017_10_28_16_17_29_186,节拍时间：END:15.656
2017_10_28_16_17_47_819,节拍时间：END:18.485
2017_10_28_16_18_1_742,节拍时间：END:13.811
2017_10_28_16_18_10_883,节拍时间：END:9.070
2017_10_28_16_18_17_215,节拍时间：END:6.279
2017_10_28_16_18_30_795,节拍时间：END:13.469
2017_10_28_16_18_37_46,节拍时间：END:6.204
2017_10_28_16_18_43_504,节拍时间：END:6.407
2017_10_28_16_18_49_825,节拍时间：END:6.270
2017_10_28_16_18_55_513,节拍时间：END:5.644
2017_10_28_16_19_4_1,节拍时间：END:8.420
2017_10_28_16_19_12_223,节拍时间：END:8.156
2017_10_28_16_19_24_751,节拍时间：END:12.426
2017_10_28_16_19_32_844,节拍时间：END:8.028
2017_10_28_16_19_41_324,节拍时间：END:8.412
2017_10_28_16_19_50_995,节拍时间：END:9.592
2017_10_28_16_21_25_851,节拍时间：END:8.340
2017_10_28_16_21_33_214,节拍时间：END:7.304
2017_10_28_16_21_59_180,节拍时间：END:25.759
2017_10_28_16_22_18_19,节拍时间：END:18.687
2017_10_28_16_22_50_593,节拍时间：END:32.316
2017_10_28_16_22_56_779,节拍时间：END:6.137
2017_10_28_16_23_2_879,节拍时间：END:6.049
2017_10_28_16_23_9_18,节拍时间：END:6.093
2017_10_28_16_23_16_731,节拍时间：END:6.034
2017_10_28_16_23_27_228,节拍时间：END:11.346
2017_10_28_16_23_33_924,节拍时间：END:5.955
2017_10_28_16_23_40_191,节拍时间：END:5.953
2017_10_28_16_23_44_805,节拍时间：END:5.836
2017_10_28_16_23_51_854,节拍时间：END:7.356
2017_10_28_16_23_59_108,节拍时间：END:7.207
2017_10_28_16_24_5_279,节拍时间：END:6.121
2017_10_28_16_24_11_317,节拍时间：END:5.991
2017_10_28_16_24_17_462,节拍时间：END:6.095
2017_10_28_16_24_23_668,节拍时间：END:6.153
2017_10_28_16_24_31_630,节拍时间：END:7.898
2017_10_28_16_24_48_472,节拍时间：END:16.709
2017_10_28_16_25_17_131,节拍时间：END:27.804
2017_10_28_16_25_25_965,节拍时间：END:8.786
2017_10_28_16_25_31_486,节拍时间：END:6.071
2017_10_28_16_25_37_597,节拍时间：END:6.070
2017_10_28_16_25_43_633,节拍时间：END:5.990
2017_10_28_16_25_53_423,节拍时间：END:9.712
2017_10_28_16_26_2_594,节拍时间：END:9.097
2017_10_28_16_26_8_820,节拍时间：END:6.176
2017_10_28_16_26_15_111,节拍时间：END:6.237
2017_10_28_16_26_21_218,节拍时间：END:6.061
2017_10_28_16_26_27_331,节拍时间：END:6.061
2017_10_28_16_26_41_831,节拍时间：END:14.386
2017_10_28_16_27_7_993,节拍时间：END:25.954
2017_10_28_16_27_20_120,节拍时间：END:12.029
2017_10_28_16_27_36_774,节拍时间：END:16.522
2017_10_28_16_27_44_364,节拍时间：END:7.525
2017_10_28_16_27_54_447,节拍时间：END:10.004
2017_10_28_16_28_10_505,节拍时间：END:11.749
2017_10_28_16_28_19_947,节拍时间：END:9.366
2017_10_28_16_28_25_870,节拍时间：END:5.874
2017_10_28_16_28_31_804,节拍时间：END:5.891
2017_10_28_16_28_39_175,节拍时间：END:7.307
2017_10_28_16_28_46_520,节拍时间：END:7.286
2017_10_28_16_28_56_866,节拍时间：END:10.263
2017_10_28_16_29_2_989,节拍时间：END:6.074
2017_10_28_16_29_13_171,节拍时间：END:5.950
2017_10_28_16_29_19_345,节拍时间：END:6.126
2017_10_28_16_29_29_68,节拍时间：END:5.479
2017_10_28_16_29_39_918,节拍时间：END:10.763
2017_10_28_16_29_48_610,节拍时间：END:8.619
2017_10_28_16_30_6_70,节拍时间：END:17.319
2017_10_28_16_30_21_468,节拍时间：END:15.276
2017_10_28_16_30_29_932,节拍时间：END:8.396
2017_10_28_16_30_41_79,节拍时间：END:11.059
2017_10_28_16_30_47_417,节拍时间：END:6.288
2017_10_28_16_30_57_59,节拍时间：END:9.565
2017_10_28_16_31_8_392,节拍时间：END:11.242
2017_10_28_16_31_22_356,节拍时间：END:13.853
2017_10_28_16_31_32_618,节拍时间：END:10.176
2017_10_28_16_31_44_120,节拍时间：END:11.413
2017_10_28_16_31_52_643,节拍时间：END:8.455
2017_10_28_16_31_58_759,节拍时间：END:6.065
2017_10_28_16_32_8_629,节拍时间：END:9.791
2017_10_28_16_32_16_233,节拍时间：END:7.541
2017_10_28_16_32_26_114,节拍时间：END:9.804
2017_10_28_16_32_34_200,节拍时间：END:8.018
2017_10_28_16_32_41_490,节拍时间：END:7.234
2017_10_28_16_32_48_957,节拍时间：END:7.404
2017_10_28_16_32_54_912,节拍时间：END:5.910
2017_10_28_16_33_10_434,节拍时间：END:15.395
2017_10_28_16_33_29_11,节拍时间：END:18.433
2017_10_28_16_33_41_341,节拍时间：END:12.233
2017_10_28_16_33_47_390,节拍时间：END:5.997
2017_10_28_16_33_54_487,节拍时间：END:6.184
2017_10_28_16_34_4_731,节拍时间：END:11.019
2017_10_28_16_34_10_898,节拍时间：END:6.117
2017_10_28_16_34_23_545,节拍时间：END:12.544
2017_10_28_16_34_29_846,节拍时间：END:6.252
2017_10_28_16_34_36_274,节拍时间：END:6.375
2017_10_28_16_34_44_772,节拍时间：END:8.433
2017_10_28_16_34_51_112,节拍时间：END:6.285
2017_10_28_16_34_56_599,节拍时间：END:5.447
2017_10_28_16_35_4_5,节拍时间：END:7.349
2017_10_28_16_35_10_127,节拍时间：END:6.074
2017_10_28_16_35_16_251,节拍时间：END:6.075
2017_10_28_16_35_22_398,节拍时间：END:6.098
2017_10_28_16_35_28_803,节拍时间：END:6.352
2017_10_28_16_35_38_422,节拍时间：END:8.161
2017_10_28_16_35_43_781,节拍时间：END:6.232
2017_10_28_16_35_54_694,节拍时间：END:10.429
2017_10_28_16_36_6_796,节拍时间：END:12.045
2017_10_28_16_36_32_120,节拍时间：END:25.945
2017_10_28_16_36_38_348,节拍时间：END:6.178
2017_10_28_16_36_44_798,节拍时间：END:6.398
2017_10_28_16_36_54_13,节拍时间：END:9.140
2017_10_28_16_37_2_491,节拍时间：END:8.407
2017_10_28_16_37_8_740,节拍时间：END:6.202
2017_10_28_16_37_16_626,节拍时间：END:7.824
2017_10_28_16_55_46_701,节拍时间：END:9.026
2017_10_28_16_55_55_151,节拍时间：END:8.384
2017_10_28_16_56_3_443,节拍时间：END:8.224
2017_10_28_16_56_11_687,节拍时间：END:8.181
2017_10_28_16_56_18_164,节拍时间：END:6.423
2017_10_28_16_56_26_487,节拍时间：END:8.255
2017_10_28_16_56_32_577,节拍时间：END:6.041
2017_10_28_16_56_38_717,节拍时间：END:6.091
2017_10_28_16_56_44_715,节拍时间：END:5.951
2017_10_28_16_56_51_212,节拍时间：END:6.445
2017_10_28_16_56_57_297,节拍时间：END:6.038
2017_10_28_16_57_3_426,节拍时间：END:6.079
2017_10_28_16_57_9_738,节拍时间：END:6.263
2017_10_28_16_57_17_952,节拍时间：END:8.147
2017_10_28_16_57_24_287,节拍时间：END:6.284
2017_10_28_16_57_30_651,节拍时间：END:6.311
2017_10_28_16_57_36_779,节拍时间：END:6.082
2017_10_28_16_57_47_339,节拍时间：END:6.305
2017_10_28_16_57_53_475,节拍时间：END:6.086
2017_10_28_16_58_1_615,节拍时间：END:8.076
2017_10_28_16_58_7_968,节拍时间：END:6.301
2017_10_28_16_58_14_50,节拍时间：END:6.033
2017_10_28_16_58_20_416,节拍时间：END:6.316
2017_10_28_16_58_27_515,节拍时间：END:6.256
2017_10_28_16_58_36_252,节拍时间：END:8.040
2017_10_28_16_58_41_736,节拍时间：END:5.986
2017_10_28_16_58_47_931,节拍时间：END:5.959
2017_10_28_16_58_54_152,节拍时间：END:6.143
2017_10_28_16_58_59_668,节拍时间：END:5.515
2017_10_28_16_59_5_337,节拍时间：END:6.170
2017_10_28_16_59_11_225,节拍时间：END:6.325
2017_10_28_16_59_17_108,节拍时间：END:5.814
2017_10_28_16_59_23_222,节拍时间：END:6.090
2017_10_28_16_59_29_657,节拍时间：END:6.379
2017_10_28_16_59_36_17,节拍时间：END:6.314
2017_10_28_16_59_42_87,节拍时间：END:6.021
2017_10_28_16_59_48_127,节拍时间：END:5.991
2017_10_28_16_59_54_315,节拍时间：END:6.140
2017_10_28_17_0_0_366,节拍时间：END:6.000
2017_10_28_17_0_6_756,节拍时间：END:5.472
2017_10_28_17_0_14_92,节拍时间：END:7.683
2017_10_28_17_0_20_419,节拍时间：END:6.236
2017_10_28_17_0_26_730,节拍时间：END:6.176
2017_10_28_17_0_37_280,节拍时间：END:6.094
2017_10_28_17_0_43_566,节拍时间：END:6.285
2017_10_28_17_0_49_379,节拍时间：END:6.506
2017_10_28_17_1_1_728,节拍时间：END:11.540
2017_10_28_17_1_7_643,节拍时间：END:6.040
2017_10_28_17_1_14_320,节拍时间：END:6.137
2017_10_28_17_1_21_76,节拍时间：END:6.193
2017_10_28_17_1_26_966,节拍时间：END:6.143
2017_10_28_17_1_33_233,节拍时间：END:5.964
2017_10_28_17_1_39_559,节拍时间：END:6.180
2017_10_28_17_1_43_666,节拍时间：END:5.395
2017_10_28_17_1_48_819,节拍时间：END:5.390
2017_10_28_17_1_54_906,节拍时间：END:6.040
2017_10_28_17_2_1_73,节拍时间：END:6.116
2017_10_28_17_2_7_298,节拍时间：END:6.174
2017_10_28_17_2_13_348,节拍时间：END:5.996
2017_10_28_17_2_19_386,节拍时间：END:5.994
2017_10_28_17_2_25_533,节拍时间：END:6.099
2017_10_28_17_2_31_967,节拍时间：END:6.382
2017_10_28_17_2_38_262,节拍时间：END:6.246
2017_10_28_17_2_44_439,节拍时间：END:6.125
2017_10_28_17_2_50_85,节拍时间：END:5.603
2017_10_28_17_2_57_803,节拍时间：END:7.656
2017_10_28_17_3_3_944,节拍时间：END:6.091
2017_10_28_17_3_20_242,节拍时间：END:8.210
2017_10_28_17_3_28_77,节拍时间：END:7.773
2017_10_28_17_3_36_639,节拍时间：END:8.493
2017_10_28_17_3_44_292,节拍时间：END:7.592
2017_10_28_17_3_52_165,节拍时间：END:7.800
2017_10_28_17_3_59_920,节拍时间：END:7.703
2017_10_28_17_4_6_188,节拍时间：END:6.216
2017_10_28_17_4_12_326,节拍时间：END:6.088
2017_10_28_17_4_18_281,节拍时间：END:5.910
2017_10_28_17_4_25_653,节拍时间：END:7.309
2017_10_28_17_4_33_227,节拍时间：END:7.517
2017_10_28_17_4_39_290,节拍时间：END:6.012
2017_10_28_17_4_45_808,节拍时间：END:6.468
2017_10_28_17_4_51_906,节拍时间：END:6.050
2017_10_28_17_4_58_222,节拍时间：END:6.158
2017_10_28_17_5_4_482,节拍时间：END:6.318
2017_10_28_17_5_10_626,节拍时间：END:6.094
2017_10_28_17_5_16_771,节拍时间：END:6.096
2017_10_28_17_5_22_937,节拍时间：END:6.118
2017_10_28_17_5_29_199,节拍时间：END:6.210
2017_10_28_17_5_35_672,节拍时间：END:6.420
2017_10_28_17_5_41_864,节拍时间：END:6.142
2017_10_28_17_5_48_60,节拍时间：END:6.142
2017_10_28_17_5_54_262,节拍时间：END:6.154
2017_10_28_17_6_0_502,节拍时间：END:6.188
2017_10_28_17_6_13_572,节拍时间：END:5.994
2017_10_28_17_6_19_621,节拍时间：END:5.999
2017_10_28_17_6_25_888,节拍时间：END:6.213
2017_10_28_17_6_31_387,节拍时间：END:5.460
2017_10_28_17_6_37_797,节拍时间：END:6.356
2017_10_28_17_7_9_107,节拍时间：END:31.062
2017_10_28_17_7_15_444,节拍时间：END:6.285
2017_10_28_17_8_50_973,节拍时间：END:7.742
2017_10_28_17_9_17_129,节拍时间：END:25.948
2017_10_28_17_9_44_47,节拍时间：END:26.703
2017_10_28_17_9_58_902,节拍时间：END:14.736
2017_10_28_17_10_6_986,节拍时间：END:8.020
2017_10_28_17_10_30_95,节拍时间：END:22.922
2017_10_28_17_10_41_337,节拍时间：END:11.147
2017_10_28_17_10_49_224,节拍时间：END:7.830
2017_10_28_17_10_55_414,节拍时间：END:6.139
2017_10_28_17_11_1_573,节拍时间：END:6.108
2017_10_28_17_11_7_585,节拍时间：END:5.966
2017_10_28_17_11_13_210,节拍时间：END:5.578
2017_10_28_17_11_18_930,节拍时间：END:5.675
2017_10_28_17_11_25_53,节拍时间：END:6.072
2017_10_28_17_11_31_97,节拍时间：END:5.994
2017_10_28_17_11_37_525,节拍时间：END:6.379
2017_10_28_17_11_43_599,节拍时间：END:6.028
2017_10_28_17_11_49_816,节拍时间：END:6.164
2017_10_28_17_11_56_59,节拍时间：END:6.190
2017_10_28_17_12_4_209,节拍时间：END:8.086
2017_10_28_17_12_10_236,节拍时间：END:5.982
2017_10_28_17_12_16_336,节拍时间：END:6.048
